     PLAYER_ID  RANK                    PLAYER TEAM  GP   MIN   FGM   FGA  FG_PCT  FG3M  FG3A  FG3_PCT  FTM  FTA  FT_PCT  OREB  DREB   REB   AST  STL  BLK  TOV   PTS   EFF
27     1629029    28               Luka Doncic  DAL   9  34.8   7.0  15.0   0.467   2.7   6.8    0.393  2.8  4.0   0.694   1.1   5.4   6.6   4.6  0.9  0.3  4.0  19.4  18.6
28      201144    29               Mike Conley  MEM   8  31.0   5.9  16.4   0.359   1.9   6.3    0.300  5.6  6.6   0.849   0.9   2.6   3.5   5.9  1.4  0.1  1.5  19.3  17.1
30      101108    31                Chris Paul  HOU   6  34.3   6.7  16.5   0.404   2.2   6.3    0.342  3.7  4.7   0.786   1.2   4.8   6.0   8.7  2.2  0.3  2.8  19.2  22.7
29      203114    30           Khris Middleton  MIL   9  30.1   6.0  13.4   0.446   3.8   7.7    0.493  3.4  3.9   0.886   0.3   4.8   5.1   3.9  1.4  0.2  2.3  19.2  19.7
31     1629027    32                Trae Young  ATL   9  31.0   6.7  15.2   0.438   2.0   6.2    0.321  3.8  5.0   0.756   0.6   2.7   3.2   7.9  0.4  0.3  3.8  19.1  17.4
32     1628398    33                Kyle Kuzma  LAL  10  31.7   7.6  15.5   0.490   1.5   5.4    0.278  2.3  3.0   0.767   0.6   4.5   5.1   1.6  0.2  0.7  1.1  19.0  16.9
33      101150    33              Lou Williams  LAC   9  23.8   5.9  13.1   0.449   1.9   4.3    0.436  5.3  5.8   0.923   0.3   1.9   2.2   2.9  0.7  0.1  2.7  19.0  14.6
34      203468    35               CJ McCollum  POR  10  31.8   7.0  16.3   0.429   2.0   5.8    0.345  2.9  3.5   0.829   1.1   2.9   4.0   2.3  0.5  0.3  1.8  18.9  14.3
35      203914    36               Gary Harris  DEN   9  33.1   7.2  15.0   0.481   1.2   4.6    0.268  3.2  4.1   0.784   0.8   3.1   3.9   3.2  1.0  0.6  1.1  18.9  17.8
36     1626157    37        Karl-Anthony Towns  MIN  10  31.9   6.1  13.8   0.442   2.2   5.0    0.440  4.3  4.8   0.896   2.4   7.7  10.1   2.3  0.8  1.9  2.6  18.7  23.0
38      201950    39              Jrue Holiday  NOP   9  35.7   6.9  15.2   0.453   0.9   4.4    0.200  3.9  4.9   0.795   0.8   3.2   4.0   8.2  1.7  0.4  3.1  18.6  20.4
37     1628368    38              De'Aaron Fox  SAC  10  31.9   6.6  13.3   0.496   1.0   2.8    0.357  4.4  6.5   0.677   0.8   3.9   4.7   7.6  1.3  0.4  3.2  18.6  20.6
39      202696    40            Nikola Vucevic  ORL   9  29.6   7.7  13.9   0.552   0.9   1.7    0.533  2.1  2.8   0.760   2.8   7.8  10.6   4.0  1.2  1.2  2.0  18.3  26.4
40      201586    41               Serge Ibaka  TOR  10  27.7   7.5  13.2   0.568   0.5   2.4    0.208  2.6  3.5   0.743   2.5   5.1   7.6   1.1  0.9  1.4  2.0  18.1  20.5
41      200768    42                Kyle Lowry  TOR  10  34.4   6.4  12.9   0.496   2.6   6.4    0.406  2.6  3.3   0.788   0.6   3.7   4.3  11.6  1.5  0.6  2.7  18.0  26.1
42      203999    42              Nikola Jokic  DEN   9  29.6   6.2  12.0   0.519   1.2   3.2    0.379  4.3  5.1   0.848   2.2   7.8  10.0   7.7  1.2  1.1  2.8  18.0  28.7
43      200755    44                 JJ Redick  PHI  11  30.5   5.6  14.5   0.390   3.3   8.6    0.379  3.4  3.6   0.925   0.4   2.5   2.9   3.3  0.4  0.1  1.5  17.9  13.9
44      202681    45              Kyrie Irving  BOS   9  31.3   6.7  15.0   0.444   2.3   6.1    0.382  2.2  2.8   0.800   0.7   4.1   4.8   5.3  0.8  0.7  2.4  17.9  18.1
45      201609    46              Goran Dragic  MIA   7  31.7   6.1  14.7   0.417   2.4   6.4    0.378  3.0  3.7   0.808   0.7   2.7   3.4   5.0  0.4  0.3  2.3  17.7  15.3
46      203083    47            Andre Drummond  DET   8  30.9   7.4  15.3   0.484   0.1   1.1    0.111  2.8  4.6   0.595   5.1  10.3  15.4   1.1  0.8  1.4  2.9  17.6  23.6
47      202083    48           Wesley Matthews  DAL   9  34.0   5.9  14.2   0.414   2.8   8.0    0.347  3.0  3.7   0.818   0.7   2.0   2.7   2.6  0.8  0.0  1.4  17.6  13.1
48      203944    49             Julius Randle  NOP   9  23.7   6.1  11.7   0.524   0.4   1.8    0.250  4.7  6.8   0.689   1.7   5.8   7.4   2.1  0.8  0.6  2.4  17.3  18.1
49      203952    50            Andrew Wiggins  MIN   7  30.7   6.4  15.3   0.421   2.0   4.9    0.412  2.4  3.0   0.810   0.4   2.9   3.3   1.4  1.7  0.3  1.4  17.3  13.1
50      201565    51              Derrick Rose  MIN   9  27.1   6.3  14.2   0.445   1.1   3.0    0.370  3.2  4.2   0.763   1.2   2.3   3.6   4.7  0.7  0.2  1.7  17.0  15.6
51      203497    52               Rudy Gobert  UTA   9  34.4   6.2   8.7   0.718   0.0   0.0    0.000  4.1  6.8   0.607   3.9   9.7  13.6   1.1  1.1  2.3  2.1  16.6  27.4
52     1628372    53          Dennis Smith Jr.  DAL   8  30.1   6.5  14.5   0.448   1.4   4.1    0.333  2.1  3.3   0.654   0.6   1.6   2.3   3.8  1.0  0.4  3.4  16.5  11.4
53     1629028    54             Deandre Ayton  PHX   9  32.1   7.0  11.1   0.630   0.0   0.0    0.000  2.0  2.7   0.750   2.6   8.1  10.7   3.4  0.8  0.9  1.8  16.0  25.2
55      203903    55           Jordan Clarkson  CLE   9  22.3   6.6  13.2   0.496   1.1   3.9    0.286  1.6  1.7   0.933   0.8   1.8   2.6   0.9  0.8  0.3  1.1  15.8  12.4
54     1628369    55              Jayson Tatum  BOS   9  32.6   5.4  13.2   0.412   1.6   4.3    0.359  3.3  3.8   0.882   1.0   6.7   7.7   2.6  0.6  0.4  2.0  15.8  16.8
57      203095    58             Evan Fournier  ORL   9  29.1   6.0  14.9   0.403   1.8   6.3    0.281  1.9  2.4   0.773   0.2   2.3   2.6   4.3  1.0  0.0  1.6  15.7  12.6
58     1627750    58              Jamal Murray  DEN   9  32.0   5.8  13.6   0.426   1.2   4.4    0.275  2.9  3.2   0.897   0.6   3.9   4.4   3.3  1.1  0.4  1.6  15.7  15.3
59      202694    58             Marcus Morris  BOS   9  26.1   5.4  10.3   0.527   2.7   5.0    0.533  2.1  2.4   0.864   0.9   6.1   7.0   1.0  0.6  0.3  1.8  15.7  17.6
56     1626161    57       Willie Cauley-Stein  SAC  10  28.5   6.8  11.9   0.571   0.0   0.0    0.000  2.1  4.2   0.500   2.5   5.7   8.2   2.2  1.2  0.5  1.3  15.7  19.3
60        2546    61           Carmelo Anthony  HOU   8  31.3   5.6  12.6   0.446   2.4   6.4    0.373  1.9  2.8   0.682   0.8   4.8   5.5   0.5  0.5  0.9  0.9  15.5  14.1
61     1627752    62            Taurean Prince  ATL   9  28.1   5.2  13.4   0.388   2.3   6.9    0.339  2.7  2.9   0.923   0.2   4.9   5.1   3.2  1.3  0.2  3.6  15.4  13.3
62     1626156    63          D'Angelo Russell  BKN  10  27.4   5.8  14.1   0.411   2.3   6.1    0.377  1.5  1.9   0.789   0.6   2.9   3.5   5.3  0.7  0.4  2.6  15.4  14.0
66      202704    66            Reggie Jackson  DET   8  30.0   4.6  13.6   0.339   2.1   6.8    0.315  3.9  4.8   0.816   0.8   2.0   2.8   3.4  0.3  0.1  1.3  15.3  10.6
67      203933    66               T.J. Warren  PHX   8  24.6   5.9  11.9   0.495   1.5   3.3    0.462  2.0  2.4   0.842   1.0   2.6   3.6   1.5  0.5  0.6  1.5  15.3  13.6
63      203932    64              Aaron Gordon  ORL   9  32.4   5.8  12.9   0.448   1.6   4.8    0.326  2.2  3.6   0.625   2.0   5.9   7.9   1.9  0.9  0.9  2.2  15.3  16.2
65      203991    66              Clint Capela  HOU   8  33.5   6.6  11.4   0.582   0.0   0.0    0.000  2.0  4.0   0.500   4.5   7.0  11.5   2.0  0.5  1.9  2.3  15.3  22.1
64      203994    65              Jusuf Nurkic  POR  10  24.9   6.0  11.2   0.536   0.2   1.3    0.154  3.1  4.0   0.775   3.8   6.3  10.1   1.5  0.8  0.9  2.3  15.3  20.2
68      201569    69               Eric Gordon  HOU   7  33.3   5.1  16.0   0.321   1.9   7.9    0.236  2.9  3.1   0.909   0.7   2.7   3.4   1.7  0.3  0.7  1.3  15.0   8.7
69      202734    70             E'Twaun Moore  NOP   9  32.1   5.8  10.8   0.536   1.8   3.6    0.500  1.6  2.0   0.778   1.1   1.0   2.1   1.7  0.8  0.4  1.1  14.9  13.3
70      203585    71           Rodney McGruder  MIA   8  34.1   5.3  10.8   0.488   2.4   5.3    0.452  1.9  2.3   0.833   1.1   4.6   5.8   3.9  0.8  0.4  1.4  14.8  18.3
71      203471    72           Dennis Schroder  OKC   8  28.6   5.1  13.6   0.376   1.3   3.8    0.333  3.1  4.0   0.781   0.6   3.4   4.0   6.0  1.0  0.1  2.8  14.6  13.6
73      201188    73                Marc Gasol  MEM   8  32.9   4.9  12.1   0.402   1.8   4.0    0.438  3.0  4.1   0.727   0.8   7.6   8.4   3.6  2.3  0.6  1.4  14.5  19.6
